Company_Name_cl,Reg_no_cl,License_type_cl,Award_date_cl,Expiry_date_cl,Group_cl,Block_cl,Commodity_cl,Area_acre_cl,Location_state_cl
GREAT GENESIS GEMS COMPANY LIMITED,978/2005-2006,Joint Venture,2008-10-19,2013-10-18,War Kyale,4,Jade,70,Kachin State
GREAT GENESIS GEMS COMPANY LIMITED,978/2005-2006,Private,2012-1-31,2015-1-30,Whay Khar,868,Jade,1,Kachin State
GREAT GENESIS GEMS COMPANY LIMITED,978/2005-2006,Private,2012-1-31,2015-1-30,Whay Khar,869,Jade,1,Kachin State
GREAT GENESIS GEMS COMPANY LIMITED,978/2005-2006,Private,2012-1-31,2015-1-30,Whay Khar,870,Jade,1,Kachin State
GREAT GENESIS GEMS COMPANY LIMITED,978/2005-2006,Private,2012-1-31,2015-1-30,Whay Khar,888,Jade,1,Kachin State
GREAT GENESIS GEMS COMPANY LIMITED,978/2005-2006,Private,2012-1-31,2015-1-30,Whay Khar,889,Jade,1,Kachin State
GREAT GENESIS GEMS COMPANY LIMITED,978/2005-2006,Private,2012-1-31,2015-1-30,Whay Khar,898,Jade,1,Kachin State
GREAT GENESIS GEMS COMPANY LIMITED,978/2005-2006,Private,2012-1-31,2015-1-30,Whay Khar,908,Jade,1,Kachin State
GREAT GENESIS GEMS COMPANY LIMITED,978/2005-2006,Private,2012-1-31,2015-1-30,Whay Khar,909,Jade,1,Kachin State
GREAT GENESIS GEMS COMPANY LIMITED,978/2005-2006,Private,2012-1-31,2015-1-30,Whay Khar,910,Jade,1,Kachin State
GREAT GENESIS GEMS COMPANY LIMITED,978/2005-2006,Private,2012-1-31,2015-1-30,Whay Khar,928,Jade,1,Kachin State
GREAT GENESIS GEMS COMPANY LIMITED,978/2005-2006,Private,2012-1-31,2015-1-30,Whay Khar,929,Jade,1,Kachin State
GREAT GENESIS GEMS COMPANY LIMITED,978/2005-2006,Private,2012-1-31,2015-1-30,Whay Khar,930,Jade,1,Kachin State
GREAT GENESIS GEMS COMPANY LIMITED,978/2005-2006,Private,2012-1-31,2015-1-30,Whay Khar,947,Jade,1,Kachin State
GREAT GENESIS GEMS COMPANY LIMITED,978/2005-2006,Private,2012-1-31,2015-1-30,Whay Khar,948,Jade,1,Kachin State
GREAT GENESIS GEMS COMPANY LIMITED,978/2005-2006,Private,2012-1-31,2015-1-30,Whay Khar,946,Jade,1,Kachin State
MYANMAR IMPERIAL JADE (GEMS & JEWELLERY) COMPANY LIMITED,919/1996-1997,Private,2010-10-27,2013-10-26,Taw Mhaw,104,Jade,1,Kachin State
MYANMAR IMPERIAL JADE (GEMS & JEWELLERY) COMPANY LIMITED,919/1996-1997,Private,2010-10-27,2013-10-26,Taw Mhaw,105,Jade,1,Kachin State
MYANMAR IMPERIAL JADE (GEMS & JEWELLERY) COMPANY LIMITED,919/1996-1997,Private,2010-10-27,2013-10-26,Taw Mhaw,106,Jade,1,Kachin State
